Year,Subject,Topic,Type,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Theory_Answer
2026,Computing,Hardware,Objective,Which hardware port interface standard handles high-speed display audio and digital peripheral streaming signals?,VGA,USB,HDMI,Serial,C,
2026,Computing,Security,Objective,What framework tracks user identities authorizations and access privileges inside an enterprise network system?,Firewall,Antivirus,Identity and Access Management,Intrusion Prevention,C,
2023,Computing,Programming,Objective,Which data format uses simple key-value pairings to structure exchange data over web applications?,XML,HTML,JSON,CSV,C,
2026,Computing,Presentation,Objective,What tool lets you view the current slide next slide timer and typed slide script notes across dual screens during a talk?,Slide Master,Reading View,Presenter View,Notes Master,C,
2023,Computing,Word Processing,Objective,Which line spacing parameter separates document text sentences by the equivalent of one full blank line height?,Single Space,Double Space,1.5 Space,Multiple Space,B,
2024,Computing,Database,Objective,Which logical SQL command is used to add new rows of information data records into a table container?,UPDATE,INSERT,ADD,CREATE,B,
2026,Computing,Word Processing,Objective,Which structural tool inserts clean grid arrangements of intersecting rows and columns to display text numbers systematically?,Frame,Box,Table,Border,C,
2022,Computing,Word Processing,Objective,Which alignment pattern formats text to line up flush with the left margin while leaving the right margin ragged?,Center,Left Alignment,Right Alignment,Justified,B,
2023,Computing,Spreadsheet,Objective,Which function combines multiple individual text strings from distinct spreadsheet cells into a unified text cell output?,CONCATENATE,SUM,AND,TEXTJOIN,A,
2022,Computing,Networking,Objective,Which component allows a computer to connect physically or wirelessly to an external network cabling system?,CPU,Sound Card,VGA Adapter,Network Interface Card,D,
2024,Computing,Word Processing,Objective,Which document tool tracks changes and additions allowing multiple editors to review suggest and collaborate over text updates?,Mail Merge,Format Painter,Autocorrect,Track Changes,D,
2023,Computing,Internet,Objective,What protocol is used to retrieve email messages from a server while downloading and deleting them from the remote server inbox?,SMTP,POP3,IMAP,HTTP,B,
2024,Computing,Word Processing,Objective,Which key deletes characters immediately to the left side of the current text editing cursor?,Delete,Backspace,Escape,Spacebar,B,
2025,Computing,Software,Objective,What system utility scanning process searches for unneeded temporary files to free up computer hard drive storage?,Disk Defragmenter,Backup Utility,Disk Cleanup,Antivirus,C,
2023,Computing,Security,Objective,Which security device monitors network activities for suspicious signatures and generates alerts when anomalies happen?,Firewall,VPN,Proxy Server,Intrusion Detection System,D,
2024,Computing,Networking,Objective,What technology converts private network IP addresses into a single public address to route outbound web traffic?,DHCP,DNS,NAT,VLAN,C,
2023,Computing,Presentation,Objective,Which software button option triggers a presentation show to loop continuously until the presenter presses escape?,Rehearse Timings,Loop Continuously,Custom Slide Show,Hide Slide,B,
2025,Computing,Programming,Objective,What is the name for a specialized programming block designed to accept input parameters perform specific calculations and return outputs?,Variable,Array,Function,Class,C,
2026,Computing,Spreadsheet,Objective,What structural error indicator occurs when a spreadsheet formula references a cell location that has been deleted?,#VALUE!,#NAME?,#DIV/0!,#REF!,D,
2026,Computing,Database,Objective,Which data language subset handles the creation modification and structural definition of database tables schemas?,DML,DCL,DDL,TCL,C,
2024,Computing,Programming,Objective,What type of error is present when a program compiles and runs fully but returns incorrect computational outputs?,Syntax Error,Runtime Error,Logic Error,Compilation Error,C,
2022,Computing,Networking,Objective,Which networking device operates at the physical layer to broadcast data packets to all connected endpoints indiscriminately?,Router,Switch,Bridge,Hub,D,
2026,Computing,Software,Objective,What classification describes application programs packaged together to handle related office productivity tasks like docs spreadsheets and slide shows?,Operating System,Utility Suite,Productivity Suite,Enterprise System,C,
2024,Computing,Hardware,Objective,Which type of high-speed internal processor memory provides rapid data access to minimize motherboard transport delays?,RAM,ROM,Cache,SSD,C,
2026,Computing,Database,Objective,Which relational operation isolates and extracts a specified subset of columns from a database table structure?,Selection,Projection,Join,Intersection,B,
2023,Computing,Hardware,Objective,Which computer metric defines the total volatile runtime memory storage available for multitasking applications?,Hard Drive Space,Processor Speed,RAM Capacity,Bus Bandwidth,C,
2025,Computing,Programming,Objective,What keyword phrase or design pattern allows programs to repeatedly loop through block structures over a preset counter range?,While Loop,For Loop,If Statement,Switch Case,B,
2026,Computing,Word Processing,Objective,Which word processor action sets up a temporary structural indent spacing block from the margin for list structures?,Tab,Margin,Alignment,Spacing,A,
2023,Computing,Database,Objective,Which term describes a single specific data item attribute column within a structured database schema design?,Row,Record,Tuple,Field,D,
2022,Computing,Programming,Objective,What programming element acts as a labeled named storage bucket to hold data values that can modify during execution?,Constant,Variable,Function,Class,B,
2025,Computing,Word Processing,Objective,Which layout feature allows you to break your document into distinct sections with separate page numbering schemas?,Page Break,Section Break,Line Break,Column Break,B,
2022,Computing,Software,Objective,What type of open-source license allows developers to reuse modify and distribute software code with minimal restriction?,Proprietary License,Subscription License,Permissive License,Copyleft License,C,
2022,Computing,Networking,Objective,What protocol automatically assigns dynamic network IP addresses to peripheral devices joining a local network environment?,DNS,FTP,DHCP,SMTP,C,
2023,Computing,Hardware,Objective,Which electrical device protects computer hardware from damage caused by voltage spikes and power fluctuations?,Inverter,Surge Protector,Power Supply Unit,Transformer,B,
2024,Computing,Presentation,Objective,Which animation sub-category handles how an asset appears and enters into focus onto a presentation slide canvas?,Entrance Effect,Emphasis Effect,Exit Effect,Motion Path,A,
2025,Computing,Internet,Objective,Which organization regulates standard domain name registration assignments and global IP address blocks allocation sets?,IEEE,W3C,ICANN,IETF,C,
2024,Computing,Spreadsheet,Objective,What formula tool helps you look up matching data values down a vertical column tracking matching rows?,HLOOKUP,VLOOKUP,INDEX,MATCH,B,
2023,Computing,Programming,Objective,What specialized testing tool tracks variable changes and lets developers step through source code line-by-line to pinpoint bugs?,Compiler,Interpreter,Debugger,Linker,C,
2025,Computing,Database,Objective,Which structured data table component handles rows in relational terminology frameworks?,Attribute,Tuple,Domain,Entity,B,
2025,Computing,Hardware,Objective,Which category of computing peripherals includes hardware components like monitors speakers headsets and visual projectors?,Input Devices,Storage Devices,Processing Devices,Output Devices,D,
2023,Computing,Security,Objective,Which security process confirms that an accessing client identity matches who they claim to be?,Authorization,Encryption,Authentication,Auditing,C,
2024,Computing,Programming,Objective,What type of software error triggers an immediate program crash or system exception while running?,Syntax Error,Runtime Error,Logic Error,Compilation Error,B,
2026,Computing,Software,Objective,What type of deployment interface uses windows icons menus and pointers to interact with computers?,Command Line Interface,Graphical User Interface,Natural Language Interface,Menu-Driven Interface,B,
2022,Computing,Internet,Objective,Which browser tool tracks recently visited site locations allowing users to quickly return to them?,Bookmarks,History,Cookies,Extensions,B,
2026,Computing,Spreadsheet,Objective,Which data analytical tool combines isolates sums and re-arranges vast spreadsheet datasets inside an interactive summary frame?,Data Table,Scenario Manager,Pivot Table,Solver,C,
2026,Computing,Security,Objective,What strategy creates off-site duplicates of critical files to shield organizations from ransomware data losses?,Firewall,Antivirus,Data Backup,Encryption,C,
2023,Computing,Security,Objective,Which form of social engineering uses deceptive automated phone calls to trick victims into giving sensitive bank data?,Phishing,Smishing,Vishing,Spoofing,C,
2022,Computing,Word Processing,Objective,Which formatting command adds small lines of numbers citations or references at the bottom of the current page?,Header,Footer,Endnote,Footnote,D,
2025,Computing,Software,Theory,Explain the fundamental difference between application software and system software using examples.,,,,,,System software manages hardware (e.g. OS) while application software helps users perform specific tasks (e.g. Word Processor).
2023,Computing,Security,Theory,What is phishing and what are two main preventive steps users can take to avoid falling victim to it?,,,,,,Phishing is a deceptive communication to steal data. Prevent it by checking the sender email address and avoiding suspicious links.
2024,Computing,Hardware,Theory,Describe the primary function of the Central Processing Unit (CPU) and name its two main internal components.,,,,,,The CPU processes program instructions. Its two main components are the Arithmetic Logic Unit (ALU) and the Control Unit (CU).
2024,Computing,Software,Theory,What is open-source software and how does it differ fundamentally from proprietary commercial software packages?,,,,,,Open-source software provides public access to source code for modification, while proprietary software keeps source code restricted.
2023,Computing,Spreadsheet,Theory,Explain the difference between absolute and relative cell referencing when copying formulas within a spreadsheet application.,,,,,,Relative references change based on position when copied, while absolute references use dollar signs ($) to remain locked.
2026,Computing,Software,Theory,Define an Operating System (OS) and list three core resource management functions it performs for a computer system.,,,,,,An OS manages hardware and software. Core functions include process management, memory allocation, and file system management.
2023,Computing,Spreadsheet,Theory,What is the purpose of the VLOOKUP function in spreadsheets and what are its four required input parameters?,,,,,,VLOOKUP searches for a value in a column. Parameters are lookup_value, table_array, col_index_num, and range_lookup.
2023,Computing,Presentation,Theory,Differentiate between slide transitions and slide animations within electronic presentation design suites.,,,,,,Transitions apply to the movement effect between slides, whereas animations apply to individual elements on a single slide.
2025,Computing,Software,Theory,Describe what a utility program is and provide two standard examples of utility software used on modern computers.,,,,,,Utility software helps analyze, configure, optimize, or maintain a computer. Examples include disk defragmenters and antivirus tools.
2022,Computing,Word Processing,Theory,Explain the purpose of the Mail Merge feature in word processing and outline a scenario where it is highly useful.,,,,,,Mail Merge combines a data list with a document template. It is useful for mass-producing personalized letter notifications or labels.
2023,Computing,Software,Theory,What is the difference between a compiler and an interpreter when translating high-level programming languages into machine code?,,,,,,A compiler translates the entire source code at once into an executable file, while an interpreter translates and executes it line-by-line.
2022,Computing,Networking,Theory,Define the concept of a computer network and compare the geographical scope of a LAN versus a WAN.,,,,,,A network is a collection of connected devices. A LAN covers a small local area (e.g. office), while a WAN connects global spans.
2025,Computing,Software,Theory,What is cloud computing and what are the core differences between Software as a Service (SaaS) and Infrastructure as a Service (IaaS)?,,,,,,Cloud computing delivers hosted services over internet. SaaS offers ready applications; IaaS delivers fundamental computing infrastructure.
2023,Computing,Programming,Theory,Explain the concept of object-oriented programming (OOP) and define its core tenets of class and object elements.,,,,,,OOP uses objects to model data and behaviors. A class is a structural blueprint, while an object is an instance of that class.
2023,Computing,Database,Theory,What is a relational database management system (RDBMS) and what role does a primary key perform in table structures?,,,,,,An RDBMS stores data in tables linked by relations. A primary key uniquely identifies each individual record in a database table.
2024,Computing,Presentation,Theory,Describe the primary function of the Slide Master view and explain how it helps maintain visual consistency in large decks.,,,,,,Slide Master is a master template page. Modifying it applies unified layout, font styles, and background changes across all presentation slides.
2026,Computing,Word Processing,Theory,Explain the layout structural difference between a section break and a page break within word processing environments.,,,,,,A page break shifts text onto the next page, while a section break permits separate margins, orientations, or headers.
2022,Computing,Programming,Theory,What is syntax in programming and how do syntax errors differ from logical errors during software execution testing?,,,,,,Syntax is the grammar rules of code. Syntax errors break structural rules and stop compiling; logic errors yield bad data output.
2025,Computing,Internet,Theory,Define what an IP address is and explain the functional difference between IPv4 and IPv6 address systems.,,,,,,An IP address is a unique identifier for a network device. IPv4 uses 32-bit addresses, while IPv6 uses a massive 128-bit space.
2022,Computing,Database,Theory,Explain what database normalization is and discuss why it is critical when designing efficient database systems.,,,,,,Normalization structures tables to minimize data redundancy and dependency, which avoids data anomalies during updates.
2023,Computing,Hardware,Theory,What is Random Access Memory (RAM) and why is it classified as volatile memory compared to hard drive storage?,,,,,,RAM holds data actively used by processing apps. It is volatile because it requires continuous electrical power to preserve data.
2023,Computing,Spreadsheet,Theory,Describe the operational mechanics of the IF function in spreadsheets and detail how nested IF logic structures are evaluated.,,,,,,The IF function runs a logical check and returns one value if true, another if false. Nested IF structures insert additional checks inside outcomes.
2024,Computing,Presentation,Theory,Discuss three foundational rules or best practices for creating highly readable and professional presentation slides.,,,,,,Best practices include using minimal text bullet points, selecting high-contrast colors, and maintaining consistent font styles.
2026,Computing,Hardware,Theory,Explain the purpose of the computer motherboard and name three critical hardware sub-systems attached directly to it.,,,,,,The motherboard links all components together. Sub-systems attached include the CPU socket, RAM slots, and peripheral expansion slots.
2026,Computing,Security,Theory,What is a firewall and explain the functional differences between network-based and host-based firewall tools.,,,,,,A firewall filters network traffic. Network-based tools guard an entire perimeter; host-based tools protect a single device.
2026,Computing,Networking,Theory,Describe the star network topology and explain its main advantage and disadvantage compared to other configurations.,,,,,,Star topology connects all nodes to a central hub device. Advantage: individual link failures do not drop the network. Disadvantage: central hub failure drops all.
2022,Computing,Programming,Theory,Define what an array data structure is and outline when a developer would choose an array over single variables.,,,,,,An array is an indexed collection of elements of the same data type. Use it when managing ordered lists of related items under one name.
2022,Computing,Programming,Theory,What is software debugging and discuss two common troubleshooting methods developers use to find bugs in source code.,,,,,,Debugging identifies and fixes errors in software. Methods include stepping line-by-line via code debuggers and printing out runtime states.
2023,Computing,Database,Theory,Explain the functional purpose of a database foreign key and discuss how it establishes referential integrity links.,,,,,,A foreign key points to a primary key in another table, preventing orphan records and preserving table relationships.
2026,Computing,Word Processing,Theory,What is the Format Painter tool in word processors and how does it save time during complex document design updates?,,,,,,Format Painter copies text formatting attributes (font, size, color) and applies them to another text chunk without altering text contents.
2026,Computing,Database,Theory,Define Structured Query Language (SQL) and explain the difference between Data Definition Language (DDL) and Data Manipulation Language (DML).,,,,,,SQL manages databases. DDL defines structural objects (e.g. CREATE); DML manipulates records inside those structures (e.g. INSERT).
2026,Computing,Networking,Theory,What is the Domain Name System (DNS) and why is it often called the phonebook of the internet network system?,,,,,,DNS resolves human-readable domain names (e.g. google.com) into machine-routable IP addresses, mimicking a phone directory.
2024,Computing,Hardware,Theory,Compare Solid State Drives (SSDs) with traditional Hard Disk Drives (HDDs) regarding read/write performance durability and mechanics.,,,,,,SSDs use flash memory with no moving parts, making them faster and shock-resistant. HDDs use spinning magnetic platters, which are slower.
2024,Computing,Hardware,Theory,What is an input computer peripheral and how does it differ from an output computer peripheral device? Provide examples.,,,,,,Input devices send user data to the computer (e.g. keyboard); output devices convey processed data back to the user (e.g. monitor).
2025,Computing,Software,Theory,What is a Device Driver and explain why operating systems require drivers to interact with external hardware parts successfully.,,,,,,A driver translates general OS instructions into specific commands that a custom piece of hardware can execute.
2026,Computing,Networking,Theory,Explain what a Virtual Private Network (VPN) does and how it safeguards private data transfers across unsecured public connections.,,,,,,A VPN establishes an encrypted communication tunnel across public networks, masking user IP locations and securing transit traffic streams.
2025,Computing,Software,Theory,Describe data backup strategies and explain why keeping regular backups off-site is a critical system administration operational best practice.,,,,,,Data backup clones files to guard against loss. Off-site storage ensures files survive physical building incidents like fire or theft.
2023,Computing,Security,Theory,What is a computer worm and how does its propagation mechanism differ from a standard computer virus infection?,,,,,,A worm replicates and distributes itself independently across network links; a virus requires a host executable to run and spread.
2026,Computing,Database,Theory,Explain what a database view object is and provide two reasons why a database developer would implement custom views.,,,,,,A view is a virtual query table. It benefits administrators by simplifying complex query steps and restricting user access to raw base rows.
2024,Computing,Networking,Theory,What is network bandwidth and how does it affect the performance of data-heavy cloud network applications?,,,,,,Bandwidth measures the maximum data delivery rate across a channel. Low bandwidth bottlenecks video streaming and file transfers.
2025,Computing,Networking,Theory,Define wireless encryption protocols and explain why WPA3 is preferred over older WEP standards for security protection.,,,,,,Wireless encryption secures Wi-Fi traffic. WPA3 replaces broken WEP protocols with strong modern encryption algorithms to stop hacking.
2026,Computing,Software,Theory,What is a user interface (UI) and contrast the functional experience of a Command Line Interface (CLI) with a Graphical User Interface (GUI).,,,,,,UI manages user-device inputs. CLI handles interactions via text commands; GUI provides intuitive point-and-click graphics.
2023,Computing,Networking,Theory,Describe the peer-to-peer (P2P) network architecture and explain how it differs from a traditional client-server network model.,,,,,,P2P networks connect equal device nodes directly to share files, eliminating the need for a dedicated, centralized server node.
2024,Computing,Database,Theory,What is a database index and explain both its primary operational advantage and its main disadvantage for table update operations.,,,,,,An index speeds up row search query retrievals. Disadvantage: updates and inserts slow down because the index must re-sort itself.
2022,Computing,Networking,Theory,What is an IP address and explain how Network Address Translation (NAT) helps conserve the available pool of public IPv4 addresses.,,,,,,An IP address tracks network targets. NAT multiplexes multiple local private addresses behind a single public address string.
2025,Computing,Software,Theory,Explain the process of disk defragmentation and how it improves mechanical hard drive file read/write operational efficiency performance.,,,,,,Defragmentation groups scattered pieces of fragmented files into contiguous sectors, minimizing slow mechanical read head movements.
2025,Computing,Database,Theory,What is a data warehouse and how does it differ from a standard operational online transaction processing (OLTP) database framework?,,,,,,A warehouse aggregates historical data for analytics and reports; OLTP databases manage real-time operational records.
2026,Computing,Database,Theory,Explain the concept of database integrity and describe three separate constraints used to enforce data rules within a table.,,,,,,Data integrity maintains accuracy. Constraints include Primary Key (uniqueness), Not Null (no empty cells), and Check (valid values).
2023,Computing,Programming,Theory,Define what a recursive function is in programming and explain the critical role that a base case performs in recursion loops.,,,,,,A recursive function is a routine that calls itself. The base case stops recursion, preventing infinite loops and stack overflow crashes.
2023,Computing,Presentation,Theory,Discuss the importance of the slide design color scheme and contrast selection when preparing presentation materials for large meeting rooms.,,,,,,High-contrast choices (e.g. dark text on light backgrounds) preserve legibility when projected on screens across large meeting rooms.
2023,Computing,Database,Theory,What is a composite primary key in relational database schemas and outline an analytical scenario where a single field key is insufficient.,,,,,,A composite key combines two fields to make records unique. It is needed when intersection records (e.g. Student_ID + Course_ID) repeat solo.
2022,Computing,Networking,Theory,Explain what the MAC address of a computer is and clarify how it differs functionally from a network IP address allocation.,,,,,,A MAC address is a physical hardware fingerprint burned onto a network card; an IP address is a logical network location.
2022,Computing,Presentation,Theory,What is the primary function of presentation software outline three core industries where slide deck assets are integral tools for operations.,,,,,,Presentation software structures visual communication decks. It is integral to educational lectures, corporate business pitches, and training seminars.
2026,Computing,Software,Theory,Explain what system registry configurations do and discuss why modifying registry files manually poses severe risks to operating stability.,,,,,,The registry holds central OS boot and app configuration settings. Mistyped changes can destabilize system booting and crash the computer.
2025,Computing,Security,Theory,What is multi-factor authentication (MFA) and explain how it enhances security access protection compared to single password policies.,,,,,,MFA requires multiple validation tokens across distinct categories (knowledge, possession, inherence), neutralizing compromised password risks.
2022,Computing,Programming,Theory,Explain the structural purpose of a loop control statement and contrast a counter-controlled loop with a condition-controlled loop structure.,,,,,,Loops repeat block segments. Counter-controlled loops repeat over a fixed count; condition-controlled loops repeat until a logical flag flips.
2022,Computing,Software,Theory,What is a software license agreement (EULA) and discuss why users should understand its clauses before deploying application assets.,,,,,,An EULA sets software terms, liability limits, and count rules. Users must check details to avoid compliance audits and penalties.
2023,Computing,Networking,Theory,What is a network gateway device and describe its functional role when a local area network requests external web connections.,,,,,,A gateway bridges distinct protocol structures, acting as an exit node to route local area traffic out toward the internet.
2026,Computing,Programming,Theory,Explain what exception handling is in software design and describe the functional mechanics of a try-catch code block structure.,,,,,,Exception handling intercepts runtime anomalies safely. The try block contains risky code, while the catch block runs fallback fixes if it errors.
2023,Computing,Programming,Theory,What is a data type in computer programming and discuss why strongly-typed languages enforce strict variable definitions during coding workflows.,,,,,,Data types define allowed variable operations and sizes. Strong typing catches variable mismatches early during compilation blocks.
2024,Computing,Database,Theory,Explain what a database schema represents and discuss how conceptual schemas differ from physical database file allocations.,,,,,,A schema dictates logical structural table layouts, columns, and relationships, whereas physical schemas handle bits, disk blocks, and file paths.
2026,Computing,Hardware,Theory,What is secondary storage within a computer system architecture and explain why computers need secondary storage alongside primary memory.,,,,,,Secondary storage provides non-volatile space to keep user files long-term. Primary RAM is too small and volatile to hold persistent files.
2025,Computing,Word Processing,Theory,Explain the formatting purpose of paragraph line spacing options and contrast single-spacing with double-spacing layout presentation standards.,,,,,,Line spacing controls vertical gaps between lines. Single-spacing fits dense data; double-spacing maximizes readability for review markups.
2023,Computing,Programming,Theory,What is pseudocode in software development planning and explain how it benefits development teams before code writing begins.,,,,,,Pseudocode is natural language outlining program step logic. It lets teams map out code flow logic without fighting syntax rules.
2024,Computing,Internet,Theory,Define cloud storage architectures and discuss two main benefits organizations achieve by migrating local data to cloud storage setups.,,,,,,Cloud storage hosts data files on remote internet nodes. Benefits include worldwide data access flexibility and reduced local drive costs.
2024,Computing,Spreadsheet,Objective,Which command allows a user to lock specific rows or columns in place while scrolling through a massive spreadsheet?,Hide Rows,Split Screen,Group Cells,Freeze Panes,D,
2025,Computing,Programming,Objective,Which keyword is traditionally used to return a final computed value from a custom function block back to its caller?,break,yield,return,exit,C,
2023,Computing,Word Processing,Objective,Which layout feature is used to control the vertical distance between consecutive lines of text within a single paragraph?,Line Spacing,Character Spacing,Paragraph Alignment,Indent Depth,A,
2026,Computing,Hardware,Objective,Which internal system component provides an immediate temporary electrical backup to a desktop computer when utility power fails completely?,UPS,SMPS,Inverter,Surge Protector,A,
2024,Computing,Software,Objective,What specific term describes software that has been hardcoded into a permanent hardware chip like a motherboard ROM?,Application,Firmware,Middleware,Shareware,B,
2025,Computing,Security,Objective,What name is given to an unauthorized individual who bypasses computer system security barriers to view modify or steal data?,Administrator,Auditor,Beta Tester,Hacker,D,
2023,Computing,Database,Objective,Which operational command is used to alter the underlying schema structure of a database table by adding a new field column?,UPDATE,ALTER TABLE,INSERT INTO,MODIFY SCHEMA,B,
2026,Computing,Internet,Objective,What technology operates behind the scenes to cache local copies of static website components on an edge device for faster access?,Web Server,Proxy Server,DNS Cache,Browser Cache,D,
2024,Computing,Networking,Objective,Which networking device functions exclusively to filter and manage traffic frames within a single Local Area Network segment?,Hub,Switch,Router,Gateway,B,
2022,Computing,Presentation,Objective,Which slide viewing mode is explicitly designed to show how a presentation looks when projected on a live screen during a talk?,Outline View,Slide Master,Slide Show View,Presenter View,C,
2025,Computing,Spreadsheet,Objective,What specific error indicator pops up when a cell reference within a spreadsheet formula points to an invalid or deleted cell location?,#VALUE!,#NAME?,#REF!,#DIV/0!,C,
2023,Computing,Programming,Objective,What is the primary role of a linker component within a standard compiled programming workflow pipeline?,Convert code to assembly,Execute instructions line by line,Combine compiled object code files into a single executable binary,Find syntax and logic bugs,C,
2026,Computing,Word Processing,Objective,Which feature lets you insert tiny notes or citation markers at the absolute end of the whole document rather than the page footer?,Footnote,Endnote,Header,Caption,B,
2025,Computing,Hardware,Objective,Which hardware tracking component converts physical fingerprints or iris patterns into secure digital authentication credentials?,Scanner,Digitizer,Biometric Sensor,Plotter,C,
2024,Computing,Software,Objective,Which system component runs immediately upon computer startup to run basic hardware validation diagnostics?,Operating System,BIOS,Device Driver,Kernel,B,
2023,Computing,Security,Objective,Which type of security token requires a user to constantly re-authenticate via short-lived alphanumeric combinations sent to an app?,Password,Digital Certificate,OTP,Cookie,C,
2026,Computing,Database,Objective,What concept describes a secondary key that links records in a table to the primary key field of an entirely different table?,Composite Key,Candidate Key,Super Key,Foreign Key,D,
2025,Computing,Internet,Objective,What global network framework interconnects private corporate intranets securely using public internet transit structures?,LAN,VPN,MAN,WAN,B,
2024,Computing,Networking,Objective,Which type of unguided network communication relies on line-of-sight directional antennas to pass data across sky paths?,Infrared,Bluetooth,Microwave,Coaxial,C,
2022,Computing,Presentation,Objective,Which layout feature is used to define custom movement paths for an individual text box or graphic asset on a slide canvas?,Entrance Effect,Emphasis Effect,Exit Effect,Motion Path,D,
2025,Computing,Spreadsheet,Objective,Which data lookup function scans for matching criteria horizontally across the first row of a spreadsheet data block?,VLOOKUP,HLOOKUP,INDEX,MATCH,B,
2023,Computing,Programming,Objective,Which conditional logic statement allows code to cleanly branches across multiple different execution values without stacking if-else phrases?,While Loop,Switch Case,For Loop,Try Catch,B,
2026,Computing,Word Processing,Objective,What is the default layout margin width typically used for standard academic or formal business text documents?,0.5 inch,1.0 inch,1.5 inches,2.0 inches,B,
2025,Computing,Hardware,Objective,Which component inside a laser printer is responsible for heating and melting toner particles permanently onto the physical paper page?,Drum,Fuser,Laser Beam,Feed Roller,B,
2024,Computing,Software,Objective,What type of application license permits multiple users within a single corporate building or organizational network to install a program?,Single-User License,Freeware License,Site License,Open-Source License,C,
2023,Computing,Security,Objective,What specific classification describes a cyberattack where malicious actors alter local network transmission paths to pass off a fake login page?,Spoofing,Phishing,Ransomware,Spyware,A,
2026,Computing,Database,Objective,Which foundational SQL aggregation function counts and displays the total number of records that fit a query statement?,SUM,TOTAL,COUNT,AVERAGE,C,
2025,Computing,Internet,Objective,What architecture protocol assigns incoming client requests evenly across multiple web servers to prevent single system bottlenecks?,Firewall,Load Balancing,DNS Routing,NAT Processing,B,
2024,Computing,Networking,Objective,Which network metric tracks the total processing time a single data packet takes to travel from a source machine to its target node?,Bandwidth,Throughput,Latency,Jitter,C,
2022,Computing,Presentation,Objective,What shortcut key combination can a user hold down to instantly open a presentation document file from local folders?,Ctrl + S,Ctrl + O,Ctrl + N,Ctrl + P,B,
2025,Computing,Spreadsheet,Objective,What formatting rule is applied when you want a cell to alter its background color only if it contains a value greater than fifty?,Conditional Formatting,Format Painter,Cell Styles,AutoFormat,A,
2023,Computing,Programming,Objective,Which programming loop evaluates its conditional statement at the very end of a block guaranteeing the code executes at least once?,For Loop,While Loop,Do-While Loop,Nested Loop,C,
2026,Computing,Word Processing,Objective,What name is given to lines of text that repeat automatically along the absolute bottom margin of every single document page?,Header,Footer,Footnote,Endnote,B,
2025,Computing,Hardware,Objective,Which form of read-only optical storage can store significantly more data than a standard DVD by utilizing short-wavelength blue lasers?,CD-ROM,Floppy Disk,Magnetic Tape,Blu-ray Disc,D,
2024,Computing,Software,Objective,What basic software utility scans local storage files to organize broken chunks of application data sequentially for faster drive retrieval?,Disk Defragmenter,Disk Cleanup,Backup Utility,Antivirus,A,
2023,Computing,Security,Objective,Which defensive security setup isolates an organization's internal secure systems from public network paths using an extra perimeter layer?,DMZ,VPN,Proxy Server,NAT,A,
2026,Computing,Database,Objective,What relational property dictates that values inside a table foreign key column must perfectly map to a valid key record in its parent table?,Normalization,Referential Integrity,Encapsulation,Indexing,B,
2025,Computing,Internet,Objective,What type of internet framework allows an enterprise to share critical internal database directories exclusively with authorized external vendor clients?,Intranet,Extranet,Local Area Network,Cloud Server,B,
2024,Computing,Networking,Objective,What layer of the standard OSI networking design structure converts digital frames into actual electrical signals or light pulses?,Network Layer,Data Link Layer,Physical Layer,Transport Layer,C,
2022,Computing,Presentation,Objective,Which interactive button tool can be embedded into slides to jump directly to specific external files websites or hidden deck pages?,Action Button,SmartArt Shape,TextBox Canvas,Chart Element,A,
2025,Computing,Spreadsheet,Objective,Which formula syntax accurately displays a basic sum function running across a range of cells starting from block A1 through A10?,=SUM(A1-A10),=SUM(A1:A10),=SUM(A1 to A10),=SUM(A1..A10),B,
2023,Computing,Programming,Objective,What specific term describes a variable that can be accessed read and modified by any function or block within an entire application file?,Local Variable,Global Variable,Static Variable,Constant,B,
2026,Computing,Word Processing,Objective,Which operational feature automatically tracks document changes and marks text additions or deletions for team review?,Mail Merge,Format Painter,Track Changes,Find and Replace,C,
2025,Computing,Hardware,Objective,What unit tracks the visual density configuration of individual pixels displayed across a modern high-resolution computer screen?,Hz,DPI,Resolution,Gigahertz,C,
2024,Computing,Software,Objective,What descriptive label is applied to utility programs like WinZip or WinRAR that bundle and compress large volumes of data files?,Operating Systems,Archiving Software,Device Drivers,Database Systems,B,
2023,Computing,Security,Objective,Which cryptographic key architecture uses one public key to encrypt a transmission and a completely separate private key to unlock it?,Symmetric Encryption,Asymmetric Encryption,Hashing Algorithm,Plaintext Processing,B,
2025,Computing,Spreadsheet,Objective,Which mathematical operator takes highest precedence in a spreadsheet formula calculation without parentheses?,+,–,*,^,D,
2023,Computing,Programming,Objective,Which programming loop is explicitly designed to repeat a block of code a predetermined number of times?,While Loop,For Loop,Do-While Loop,Infinite Loop,B,
2026,Computing,Word Processing,Objective,Which text formatting command creates a continuous line directly underneath a selected block of characters?,Bold,Italic,Underline,Strikethrough,C,
2025,Computing,Hardware,Objective,Which cooling component utilizes a metal block with fins to draw heat away from the CPU chip?,Heat Sink,Cooling Fan,Liquid Pump,Radiator,A,
2024,Computing,Software,Objective,What form of system software acts as the primary core manager handling task scheduling and memory allocation?,Utility,Driver,Shell,Kernel,D,
2023,Computing,Security,Objective,Which form of spyware specifically logs every keyboard character typed by a user to steal confidential credentials?,Virus,Worm,Keylogger,Trojan Horse,C,
2026,Computing,Database,Objective,Which SQL clause is used to sort the output rows of a query matching field criteria sequentially?,SORT BY,ORDER BY,GROUP BY,ARRANGE BY,B,
